case_id,sanctuary_id,case_type,region,state,resource_type,candidate_evidence_count,family_counts,query_text,target_evidence_ids
case_011fadaf6730260b,sanctuary_47e02df43a0312,hydrology_repair_route,1,OR,NWR,97,ACCESS:3; BLIND:3; BUILDING:1; GATE:3; PARKING:16; PROPERTY:19; TRAIL:17; TRAIL_NOTE:10; WATER_LINE:24; WATER_POINT:1,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 97 candidate evidence rows with family counts: ACCESS:3; BLIND:3; BUILDING:1; GATE:3; PARKING:16; PROPERTY:19; TRAIL:17; TRAIL_NOTE:10; WATER_LINE:24; WATER_POINT:1.",ev_water_line_8c2d2f39d01e3708 | ev_water_point_6fe5d25ff3a11d0e | ev_access_c8625cbce158b3cb | ev_gate_f8f5c84ec29af389 | ev_parking_f48dba189187ff7d
case_013155fb1dbe282c,sanctuary_e88f71687f1705,hydrology_repair_route,8,CA,NWR,40,BUILDING:7; GATE:8; PARKING:2; PROPERTY:9; ROAD:1; TRAIL:8; TRAIL_NOTE:5,"Reconstruct an ordered refuge evidence route for intent hydrology_repair_route. Recover the strongest evidence route for water-control risk and access continuity. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: WATER_LINE | WATER_POINT | ACCESS | GATE | ROAD | PARKING | FENCE. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 40 candidate evidence rows with family counts: BUILDING:7; GATE:8; PARKING:2; PROPERTY:9; ROAD:1; TRAIL:8; TRAIL_NOTE:5.",ev_gate_e5596e40398d9d09 | ev_road_71f3a27eadb9b9fb | ev_parking_552fa52071f7b64b
case_013830a74eea0d9b,sanctuary_b38b2b8c6f5732,visitor_access_route,8,CA,NWR,50,BLIND:8; BUILDING:2; GATE:2; PARKING:7; PROPERTY:11; ROAD:3; TRAIL:12; TRAIL_NOTE:2; WATER_LINE:3,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 50 candidate evidence rows with family counts: BLIND:8; BUILDING:2; GATE:2; PARKING:7; PROPERTY:11; ROAD:3; TRAIL:12; TRAIL_NOTE:2; WATER_LINE:3.",ev_trail_f267d830dbb7e314 | ev_trail_note_527653634320dc02 | ev_parking_0360549170be7648 | ev_road_f695567ae3476816 | ev_building_97758811f2791d63 | ev_blind_19b8b8325b5d3e19
case_018cde2e74a19d36,sanctuary_c32187e5ca02d2,visitor_access_route,5,ME,NWR,107,ACCESS:7; BUILDING:7; GATE:7; PARKING:14; PROPERTY:48; ROAD:3; TRAIL:15; TRAIL_NOTE:6,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 107 candidate evidence rows with family counts: ACCESS:7; BUILDING:7; GATE:7; PARKING:14; PROPERTY:48; ROAD:3; TRAIL:15; TRAIL_NOTE:6.",ev_trail_38dc7461c7fe01e5 | ev_trail_note_9afade1063a7cea5 | ev_parking_523befe33146db85 | ev_road_e8e60943ace19213 | ev_access_81f6ce216296b3a5 | ev_building_a19acd81af151d08
case_019075b5cfe5f4c0,sanctuary_7f30706870d77b,visitor_access_route,1,WA,NWR,199,ACCESS:3; BLIND:58; BUILDING:2; GATE:5; PARKING:38; PROPERTY:56; ROAD:16; TRAIL:16; TRAIL_NOTE:5,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 199 candidate evidence rows with family counts: ACCESS:3; BLIND:58; BUILDING:2; GATE:5; PARKING:38; PROPERTY:56; ROAD:16; TRAIL:16; TRAIL_NOTE:5.",ev_trail_a0f230e6fb7f85ae | ev_trail_note_bcdc3563392d9db4 | ev_parking_1730ccd5550988da | ev_road_6d31d61445fc7224 | ev_access_e3f23b4ae63c950c | ev_building_14fc2ea357bc8de4
case_01a030a5ca0a87f4,sanctuary_8598834bb76434,visitor_access_route,3,IA,NWR,47,BUILDING:1; PARKING:9; PROPERTY:10; ROAD:1; WATER_LINE:26,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 47 candidate evidence rows with family counts: BUILDING:1; PARKING:9; PROPERTY:10; ROAD:1; WATER_LINE:26.",ev_parking_1b33a7fcb5476897 | ev_road_78b6f5dcb6244b97 | ev_building_ed1ea18b8066d409
case_01aa531c6cde28b1,sanctuary_71f4e03e05d9ad,operations_facility_route,4,MS,NWR,213,ACCESS:9; BUILDING:11; GATE:31; PARKING:22; PROPERTY:83; ROAD:19; TRAIL:23; TRAIL_NOTE:12; WATER_LINE:3,"Reconstruct an ordered refuge evidence route for intent operations_facility_route. Recover the strongest evidence route for facility/property operations and boundary support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: PROPERTY | BUILDING | GATE | FENCE | ROAD | WATER_LINE | WATER_POINT. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 213 candidate evidence rows with family counts: ACCESS:9; BUILDING:11; GATE:31; PARKING:22; PROPERTY:83; ROAD:19; TRAIL:23; TRAIL_NOTE:12; WATER_LINE:3.",ev_property_3ae8f6cb602fe1f3 | ev_building_a8ba08a162be72f3 | ev_gate_b88355a0edb2de9c | ev_road_b23092cb8352ef98 | ev_water_line_300105dd5784258e
case_020a1025d5b44247,sanctuary_71f4e03e05d9ad,visitor_access_route,4,MS,NWR,213,ACCESS:9; BUILDING:11; GATE:31; PARKING:22; PROPERTY:83; ROAD:19; TRAIL:23; TRAIL_NOTE:12; WATER_LINE:3,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 213 candidate evidence rows with family counts: ACCESS:9; BUILDING:11; GATE:31; PARKING:22; PROPERTY:83; ROAD:19; TRAIL:23; TRAIL_NOTE:12; WATER_LINE:3.",ev_trail_42ab7ff0ad5c328c | ev_trail_note_ae71b0e2643e2cff | ev_parking_9617873f3099250f | ev_road_b23092cb8352ef98 | ev_access_44db0433597c315b | ev_building_a8ba08a162be72f3
case_02173c37c0613773,sanctuary_8f65e529e7d1c6,visitor_access_route,2,NM,FTC,7,BUILDING:2; PARKING:2; PROPERTY:2; ROAD:1,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 7 candidate evidence rows with family counts: BUILDING:2; PARKING:2; PROPERTY:2; ROAD:1.",ev_parking_18dc3b7b6632446d | ev_road_6cc5179a0473c745 | ev_building_cdb224a47f33915f
case_022cc847ae75d824,sanctuary_a03d417bd1cb44,visitor_access_route,6,ND,NWR,140,BUILDING:5; GATE:58; PARKING:6; PROPERTY:19; ROAD:6; TRAIL:2; TRAIL_NOTE:2; WATER_LINE:42,"Reconstruct an ordered refuge evidence route for intent visitor_access_route. Recover the strongest evidence route for visitor movement, trails, parking, roads, and public-use support. Use the evidence catalog rows that share this case's sanctuary_id. Prefer the first strong record available from each family in this order: TRAIL | TRAIL_NOTE | PARKING | ROAD | ACCESS | BUILDING | BLIND. Within a family, the public evidence text is intentionally lossy; use the training routes to infer which normalized attributes, family context, and source patterns tend to indicate stronger evidence. This sanctuary has 140 candidate evidence rows with family counts: BUILDING:5; GATE:58; PARKING:6; PROPERTY:19; ROAD:6; TRAIL:2; TRAIL_NOTE:2; WATER_LINE:42.",ev_trail_58d1888c11163c74 | ev_trail_note_f57e2cb02b8668a7 | ev_parking_f8bc725dbba3ba52 | ev_road_f632ffe625a160f3 | ev_building_4751fa1cf88b72be
